artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,popularity,result
Will Sparks,"Ah Yeah So What (feat. Wiley, Elen Levon) - SCNDL Remix",0.769,0.978,5.0,-3.597,0.0,0.155,0.094,0.317,0.765,0.475,127.983,audio_features,7dGEFJ1XaCGRjSTsQykGOq,spotify:track:7dGEFJ1XaCGRjSTsQykGOq,https://api.spotify.com/v1/tracks/7dGEFJ1XaCGRjSTsQykGOq,https://api.spotify.com/v1/audio-analysis/7dGEFJ1XaCGRjSTsQykGOq,258750.0,4.0,"['big room', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",49.0,0.0
Calvin Harris,Blame (feat. John Newman) - Jacob Plant Remix,0.653,0.893,0.0,-3.869,0.0,0.0347,0.00269,0.000622,0.619,0.566,127.974,audio_features,0UM8xa2o8jHCpvqQEq6Rfw,spotify:track:0UM8xa2o8jHCpvqQEq6Rfw,https://api.spotify.com/v1/tracks/0UM8xa2o8jHCpvqQEq6Rfw,https://api.spotify.com/v1/audio-analysis/0UM8xa2o8jHCpvqQEq6Rfw,296107.0,4.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",40.0,0.0
David Guetta,Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix,0.632,0.9,11.0,-2.827,0.0,0.0418,0.000176,0.112,0.0638,0.278,127.989,audio_features,5uDGa3i2YBIWqJAB2MUtcx,spotify:track:5uDGa3i2YBIWqJAB2MUtcx,https://api.spotify.com/v1/tracks/5uDGa3i2YBIWqJAB2MUtcx,https://api.spotify.com/v1/audio-analysis/5uDGa3i2YBIWqJAB2MUtcx,360238.0,4.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",23.0,0.0
Alesso,Heroes (we could be) - Hard Rock Sofa & Skidka Remix,0.555,0.966,5.0,-3.079,1.0,0.0448,0.00186,0.169,0.156,0.24,126.019,audio_features,4niVe5TtGedpJ33DEaQCYy,spotify:track:4niVe5TtGedpJ33DEaQCYy,https://api.spotify.com/v1/tracks/4niVe5TtGedpJ33DEaQCYy,https://api.spotify.com/v1/audio-analysis/4niVe5TtGedpJ33DEaQCYy,396200.0,4.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",35.0,0.0
Calvin Harris,Summer - R3hab & Ummet Ozcan Remix,0.693,0.918,11.0,-6.403,1.0,0.0637,0.0259,0.19,0.514,0.153,128.008,audio_features,1X4l0BRQfy7K3VkUATgwro,spotify:track:1X4l0BRQfy7K3VkUATgwro,https://api.spotify.com/v1/tracks/1X4l0BRQfy7K3VkUATgwro,https://api.spotify.com/v1/audio-analysis/1X4l0BRQfy7K3VkUATgwro,280867.0,4.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",35.0,0.0
MAGIC!,Rude - Zedd Remix,0.598,0.836,1.0,-2.388,1.0,0.0457,0.0324,2.44e-06,0.0751,0.343,130.009,audio_features,6rmtT7Y8cH7NpvovoPiV6k,spotify:track:6rmtT7Y8cH7NpvovoPiV6k,https://api.spotify.com/v1/tracks/6rmtT7Y8cH7NpvovoPiV6k,https://api.spotify.com/v1/audio-analysis/6rmtT7Y8cH7NpvovoPiV6k,273231.0,4.0,['reggae fusion'],56.0,0.0
Tiësto,Wasted - R3hab Remix,0.647,0.95,11.0,-3.703,0.0,0.134,0.00797,0.00118,0.152,0.239,128.001,audio_features,5XmZRv1A4Xxuo4xGCu06TX,spotify:track:5XmZRv1A4Xxuo4xGCu06TX,https://api.spotify.com/v1/tracks/5XmZRv1A4Xxuo4xGCu06TX,https://api.spotify.com/v1/audio-analysis/5XmZRv1A4Xxuo4xGCu06TX,252880.0,4.0,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",29.0,0.0
Chris Brown,Don't Wake Me Up - Panic City Remix Radio Edit,0.682,0.797,7.0,-3.972,0.0,0.0405,0.0248,2.86e-05,0.339,0.206,125.935,audio_features,4xJzZkAP33kMkknd8cZBiM,spotify:track:4xJzZkAP33kMkknd8cZBiM,https://api.spotify.com/v1/tracks/4xJzZkAP33kMkknd8cZBiM,https://api.spotify.com/v1/audio-analysis/4xJzZkAP33kMkknd8cZBiM,275733.0,4.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",31.0,0.0
Gotye,Somebody That I Used To Know - Tiësto Remix,0.635,0.634,9.0,-6.141,0.0,0.0401,0.000221,0.0124,0.0381,0.413,128.994,audio_features,2p4Q64Ns5hg6bCK3u0V5ld,spotify:track:2p4Q64Ns5hg6bCK3u0V5ld,https://api.spotify.com/v1/tracks/2p4Q64Ns5hg6bCK3u0V5ld,https://api.spotify.com/v1/audio-analysis/2p4Q64Ns5hg6bCK3u0V5ld,273095.0,4.0,['australian pop'],39.0,0.0
LMFAO,Party Rock Anthem - Audiobot Remix,0.784,0.854,3.0,-3.67,0.0,0.208,0.00889,0.000728,0.0653,0.731,128.028,audio_features,0JkTKXvRIvJ2xqtRiqtlun,spotify:track:0JkTKXvRIvJ2xqtRiqtlun,https://api.spotify.com/v1/tracks/0JkTKXvRIvJ2xqtRiqtlun,https://api.spotify.com/v1/audio-analysis/0JkTKXvRIvJ2xqtRiqtlun,360853.0,4.0,"['dance pop', 'pop rap']",39.0,0.0
