artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Robot Orchestra,GoldenBrown,0.52,0.654,5,-10.238,0,0.0376,0.151,0.869,0.252,0.219,83.041,audio_features,2QlHUMQ0SONcZsCf2Zg3rJ,spotify:track:2QlHUMQ0SONcZsCf2Zg3rJ,https://api.spotify.com/v1/tracks/2QlHUMQ0SONcZsCf2Zg3rJ,https://api.spotify.com/v1/audio-analysis/2QlHUMQ0SONcZsCf2Zg3rJ,166210,4
Stan Forebee,Our Dream,0.631,0.542,2,-8.989,1,0.049,0.268,0.946,0.384,0.0915,82.029,audio_features,5ReDeiX4reiIuFZnukka2k,spotify:track:5ReDeiX4reiIuFZnukka2k,https://api.spotify.com/v1/tracks/5ReDeiX4reiIuFZnukka2k,https://api.spotify.com/v1/audio-analysis/5ReDeiX4reiIuFZnukka2k,236013,4
fantompower,in a new space,0.567,0.0963,9,-14.412,1,0.0403,0.904,0.928,0.127,0.216,86.925,audio_features,4TNiUCVUjU4EHcoOssMK6S,spotify:track:4TNiUCVUjU4EHcoOssMK6S,https://api.spotify.com/v1/tracks/4TNiUCVUjU4EHcoOssMK6S,https://api.spotify.com/v1/audio-analysis/4TNiUCVUjU4EHcoOssMK6S,150489,4
mommy,soupeddd!,0.54,0.268,5,-13.594,1,0.124,0.707,0.856,0.1,0.538,74.959,audio_features,62xQco2cuJXsqeercpl6jx,spotify:track:62xQco2cuJXsqeercpl6jx,https://api.spotify.com/v1/tracks/62xQco2cuJXsqeercpl6jx,https://api.spotify.com/v1/audio-analysis/62xQco2cuJXsqeercpl6jx,189000,4
BluntOne,TheWhut,0.851,0.515,2,-9.793,0,0.0532,0.314,0.886,0.102,0.684,86.997,audio_features,6unSmjlwPbPwFSsRDLTelq,spotify:track:6unSmjlwPbPwFSsRDLTelq,https://api.spotify.com/v1/tracks/6unSmjlwPbPwFSsRDLTelq,https://api.spotify.com/v1/audio-analysis/6unSmjlwPbPwFSsRDLTelq,138000,4
mommy,walnut,0.796,0.0658,6,-12.499,1,0.615,0.804,0.951,0.105,0.96,79.935,audio_features,14sxK5FO24K6vgVsKyCKL3,spotify:track:14sxK5FO24K6vgVsKyCKL3,https://api.spotify.com/v1/tracks/14sxK5FO24K6vgVsKyCKL3,https://api.spotify.com/v1/audio-analysis/14sxK5FO24K6vgVsKyCKL3,80000,4
chief.,Yesterday,0.633,0.185,0,-14.68,1,0.0626,0.945,0.868,0.127,0.155,77.223,audio_features,3JdcRs53aBDG20OiPBJO9g,spotify:track:3JdcRs53aBDG20OiPBJO9g,https://api.spotify.com/v1/tracks/3JdcRs53aBDG20OiPBJO9g,https://api.spotify.com/v1/audio-analysis/3JdcRs53aBDG20OiPBJO9g,154125,4
invention_,T00.Mch_t00.Lttl,0.475,0.738,6,-7.181,0,0.0656,0.663,0.557,0.592,0.255,110.791,audio_features,6XgDYN2CwkMPWttf8qgvk5,spotify:track:6XgDYN2CwkMPWttf8qgvk5,https://api.spotify.com/v1/tracks/6XgDYN2CwkMPWttf8qgvk5,https://api.spotify.com/v1/audio-analysis/6XgDYN2CwkMPWttf8qgvk5,102857,3
mommy,light strands,0.837,0.0798,0,-13.512,1,0.106,0.908,0.909,0.085,0.608,81.985,audio_features,4eO45qgSrPSozyPfwdLXpT,spotify:track:4eO45qgSrPSozyPfwdLXpT,https://api.spotify.com/v1/tracks/4eO45qgSrPSozyPfwdLXpT,https://api.spotify.com/v1/audio-analysis/4eO45qgSrPSozyPfwdLXpT,106000,4
Kupla,Nowhere Else,0.69,0.309,4,-9.435,0,0.0374,0.728,0.927,0.612,0.143,76.968,audio_features,7MPQwVGvLjelw7v6nhOPM2,spotify:track:7MPQwVGvLjelw7v6nhOPM2,https://api.spotify.com/v1/tracks/7MPQwVGvLjelw7v6nhOPM2,https://api.spotify.com/v1/audio-analysis/7MPQwVGvLjelw7v6nhOPM2,156141,4
